,AWS 정보,강수량,WBGT,지역구,행정동,신고대분류,신고세부항목,신고건수
148,159,21.3,16.039104234773582,4,125,0,5,1.0
149,940,12.0,16.117168979157906,5,49,0,0,1.0
150,940,12.0,16.117168979157906,5,80,0,5,1.0
151,940,12.0,16.117168979157906,5,98,0,5,2.0
152,938,14.5,15.79415712572969,6,0,0,5,1.0
153,938,14.5,15.79415712572969,6,5,0,0,2.0
154,942,21.0,16.222054465771507,6,60,0,5,1.0
155,940,12.0,16.117168979157906,6,91,2,11,1.0
156,941,11.5,16.633093363864262,7,133,0,5,1.0
157,904,16.0,15.272545476008212,8,2,0,5,1.0
158,904,16.0,15.272545476008212,8,40,0,5,1.0
159,904,16.0,15.272545476008212,8,51,0,5,2.0
160,938,14.5,16.272029601998838,8,114,0,0,1.0
161,938,14.5,16.272029601998838,8,114,0,5,2.0
162,904,16.0,15.272545476008212,8,132,0,0,1.0
163,159,21.3,16.039104234773582,9,3,0,5,1.0
164,950,15.0,14.85106269927756,9,10,0,5,2.0
165,950,15.0,14.85106269927756,9,28,0,0,1.0
166,950,15.0,14.85106269927756,9,28,0,5,2.0
167,950,15.0,14.85106269927756,9,86,0,5,1.0
168,950,15.0,14.85106269927756,9,86,1,0,1.0
169,950,15.0,14.85106269927756,9,86,2,11,2.0
170,950,15.0,14.85106269927756,9,131,0,5,2.0
171,159,21.3,16.039104234773582,10,42,0,5,1.0
172,159,21.3,16.039104234773582,10,74,0,5,1.0
173,159,21.3,16.039104234773582,10,90,0,1,1.0
174,159,21.3,16.039104234773582,10,128,0,0,1.0
175,159,21.3,16.039104234773582,10,128,0,5,1.0
176,937,11.0,17.64312683571028,11,8,2,9,1.0
177,937,11.0,17.64312683571028,11,22,2,9,1.0
178,940,12.0,16.117168979157906,12,6,0,5,1.0
179,940,12.0,16.117168979157906,12,93,0,0,1.0
180,940,12.0,16.117168979157906,12,93,0,5,1.0
181,910,22.0,16.437365989688967,13,43,0,5,2.0
182,159,21.3,16.039104234773582,13,63,0,0,1.0
183,159,21.3,16.039104234773582,14,36,0,5,1.0
184,159,21.3,16.039104234773582,14,118,0,5,1.0
185,159,21.3,16.039104234773582,14,118,1,0,1.0
186,937,11.0,17.64312683571028,15,56,1,0,1.0
187,937,11.0,17.64312683571028,15,101,0,0,1.0
188,937,11.0,17.64312683571028,15,101,0,5,2.0
189,937,11.0,17.64312683571028,15,101,2,9,1.0
190,937,11.0,17.64312683571028,15,108,1,0,1.0
191,904,0.0,18.733478523507245,0,4,0,0,1.0
192,904,0.0,18.733478523507245,0,33,1,0,1.0
193,937,0.0,17.22743078743381,0,79,0,5,1.0
194,940,0.5,20.52494411264797,1,12,0,5,1.0
195,940,0.5,20.52494411264797,1,16,2,9,1.0
196,941,0.0,21.51242188114386,1,17,1,0,1.0
197,940,0.5,20.52494411264797,1,65,0,0,1.0
198,923,0.0,19.15249713384631,2,18,0,5,1.0
199,923,0.0,19.15249713384631,2,18,1,0,1.0
200,923,0.0,19.15249713384631,2,111,0,5,1.0
201,939,0.0,24.078619744592118,2,122,0,5,1.0
202,939,0.0,24.078619744592118,2,122,1,0,1.0
203,942,0.0,18.101220868089378,3,32,0,0,2.0
204,942,0.0,18.068434944880924,3,52,0,0,1.0
205,942,0.0,18.035649021672466,3,100,0,0,1.0
206,942,0.0,18.035649021672466,3,100,0,5,4.0
207,942,0.0,18.00286309846401,4,58,0,0,1.0
208,942,0.0,18.00286309846401,4,58,0,5,1.0
209,159,0.0,19.190394001777157,4,125,0,5,1.0
210,940,0.5,20.52494411264797,5,19,0,0,1.0
211,940,0.5,20.52494411264797,5,19,0,1,1.0
212,940,0.5,20.52494411264797,5,62,1,8,1.0
213,940,0.5,20.52494411264797,5,98,0,0,1.0
214,940,0.5,20.52494411264797,5,98,0,5,2.0
215,938,0.0,22.104325485807934,6,0,0,0,1.0
216,938,0.0,22.104325485807934,6,0,0,5,1.0
217,938,0.0,22.104325485807934,6,29,0,5,2.0
218,942,0.0,17.290514403298502,6,60,0,5,1.0
219,938,0.0,22.104325485807934,6,67,0,0,1.0
220,938,0.0,22.104325485807934,6,67,2,11,1.0
221,938,0.0,22.104325485807934,6,69,0,1,1.0
222,938,0.0,22.104325485807934,6,69,0,5,3.0
223,940,0.5,20.52494411264797,6,91,0,0,1.0
224,940,0.5,20.52494411264797,6,91,0,5,2.0
225,940,0.5,20.52494411264797,6,91,2,9,1.0
226,941,0.0,21.606170569867327,7,14,0,0,1.0
227,941,0.0,21.606170569867327,7,14,0,5,2.0
228,941,0.0,21.699919258590793,7,15,0,5,2.0
229,941,0.0,21.793667947314255,7,39,0,0,1.0
230,941,0.0,21.793667947314255,7,39,1,0,1.0
231,941,0.0,21.887416636037717,7,46,2,9,1.0
232,941,0.0,21.981165324761186,7,133,0,0,1.0
233,941,0.0,21.981165324761186,7,133,0,5,1.0
234,904,0.0,18.733478523507245,8,40,0,5,1.0
235,904,0.0,18.733478523507245,8,72,2,11,1.0
236,938,0.0,22.660035134171725,8,114,0,0,1.0
237,938,0.0,22.660035134171725,8,114,1,0,1.0
238,938,0.0,22.660035134171725,8,114,2,9,3.0
239,904,0.0,18.733478523507245,8,132,1,0,1.0
240,950,0.0,17.6317604863411,9,10,0,0,1.0
241,950,0.0,17.6317604863411,9,10,0,5,1.0
242,950,0.0,17.6317604863411,9,10,2,9,1.0
243,950,0.0,17.6317604863411,9,28,2,4,1.0
244,950,0.0,17.6317604863411,9,86,2,11,1.0
245,950,0.0,17.6317604863411,9,105,0,5,1.0
246,950,0.0,17.6317604863411,9,131,1,13,2.0
247,159,0.0,19.190394001777157,10,20,0,5,1.0
248,159,0.0,19.190394001777157,10,88,0,5,1.0
249,159,0.0,19.190394001777157,10,128,0,5,1.0
250,937,0.0,17.22743078743381,11,8,0,5,2.0
251,937,0.0,17.22743078743381,11,8,2,9,1.0
252,937,0.0,17.22743078743381,11,22,2,9,1.0
253,940,0.5,20.52494411264797,11,47,0,0,1.0
254,940,0.5,20.52494411264797,12,6,0,0,1.0
255,940,0.5,20.52494411264797,12,6,0,5,1.0
256,940,0.5,20.52494411264797,12,93,0,1,1.0
257,940,0.5,20.52494411264797,12,93,0,5,2.0
258,940,0.5,20.52494411264797,12,93,1,0,1.0
259,910,0.0,16.48447654474698,13,43,0,5,2.0
260,910,0.0,16.48447654474698,13,43,2,11,1.0
261,159,0.0,19.190394001777157,13,124,0,0,1.0
262,159,0.0,19.190394001777157,14,23,0,0,1.0
263,159,0.0,19.190394001777157,14,118,1,0,1.0
264,159,0.0,19.190394001777157,14,118,2,11,1.0
265,937,0.0,17.22743078743381,15,55,0,5,2.0
266,937,0.0,17.22743078743381,15,56,2,11,1.0
267,937,0.0,17.22743078743381,15,79,0,5,1.0
268,937,0.0,17.22743078743381,15,117,0,5,1.0
269,937,0.0,17.22743078743381,15,117,2,9,1.0
270,904,0.0,15.714125606049492,0,50,0,5,1.0
271,939,0.0,16.656493166271577,1,45,0,0,1.0
272,939,0.0,16.656493166271577,1,45,1,0,1.0
273,940,0.0,16.815568586829606,1,65,0,0,1.0
274,940,0.0,16.815568586829606,1,97,1,0,1.0
275,940,0.0,16.815568586829606,1,107,0,5,1.0
276,923,0.0,15.483777763338773,2,18,0,5,1.0
277,942,0.0,14.602704395986065,3,1,0,5,1.0
278,942,0.0,14.55559399804678,3,32,0,1,1.0
279,942,0.0,14.55559399804678,3,32,0,5,2.0
280,942,0.0,14.508483600107494,3,52,0,5,1.0
281,942,0.0,14.46137320216821,3,100,0,0,2.0
282,942,0.0,14.46137320216821,3,100,0,5,1.0
283,942,0.0,14.46137320216821,3,100,1,0,1.0
284,159,0.0,15.151763346692674,4,125,0,5,1.0
285,940,0.0,16.815568586829606,5,71,0,1,1.0
286,940,0.0,16.815568586829606,5,80,0,5,1.0
287,940,0.0,16.815568586829606,5,80,1,0,1.0
288,940,0.0,16.815568586829606,5,89,0,1,1.0
289,938,0.0,15.980121543944234,6,0,0,5,1.0
290,938,0.0,15.980121543944234,6,0,2,11,1.0
291,938,0.0,15.980121543944234,6,29,2,11,1.0
292,938,0.0,15.980121543944234,6,67,2,11,1.0
293,938,0.0,15.980121543944234,6,69,0,0,4.0
294,938,0.0,15.980121543944234,6,69,0,5,1.0
295,938,0.0,15.980121543944234,6,69,2,9,1.0
296,940,0.0,16.815568586829606,6,91,0,0,1.0
297,941,0.0,16.971964812254434,6,126,0,5,1.0
298,941,0.0,17.075291307588294,7,14,0,0,1.0
299,941,0.0,17.075291307588294,7,14,0,5,1.0
300,941,0.0,17.178617802922158,7,39,0,5,1.0
301,941,0.0,17.178617802922158,7,39,2,11,1.0
302,904,0.0,15.714125606049492,8,2,0,5,1.0
303,904,0.0,15.714125606049492,8,9,0,5,1.0
304,904,0.0,15.714125606049492,8,40,0,0,1.0
305,904,0.0,15.714125606049492,8,51,0,5,2.0
306,904,0.0,15.714125606049492,8,51,1,0,1.0
307,904,0.0,15.714125606049492,8,51,1,8,1.0
308,904,0.0,15.714125606049492,8,72,0,5,1.0
309,904,0.0,15.714125606049492,8,132,1,0,1.0
310,950,0.0,13.516627128915957,9,28,2,9,1.0
311,950,0.0,13.516627128915957,9,131,0,0,1.0
312,159,0.0,15.151763346692674,10,20,0,0,1.0
313,159,0.0,15.151763346692674,10,130,0,5,1.0
314,937,0.0,14.915570749939683,11,8,0,5,2.0
315,937,0.0,14.915570749939683,11,8,2,11,1.0
316,937,0.0,14.915570749939683,11,54,0,5,1.0
317,940,0.0,16.815568586829606,12,93,0,0,1.0
318,940,0.0,16.815568586829606,12,93,2,9,1.0
319,940,0.0,16.815568586829606,12,93,2,11,1.0
320,910,0.0,13.519321344542455,13,43,0,5,2.0
321,910,0.0,13.519321344542455,13,43,2,9,1.0
322,159,0.0,15.151763346692674,13,124,0,0,1.0
323,937,0.0,14.915570749939683,15,55,0,5,2.0
324,937,0.0,14.915570749939683,15,56,0,5,1.0
325,937,0.0,14.915570749939683,15,79,0,5,1.0
326,937,0.0,14.915570749939683,15,101,0,0,2.0
327,937,0.0,14.915570749939683,15,101,0,5,1.0
328,937,0.0,14.915570749939683,15,101,1,10,1.0
329,937,0.0,14.915570749939683,15,108,0,5,1.0
330,904,0.0,14.596478182305502,0,33,1,0,1.0
331,904,0.0,14.596478182305502,0,50,0,0,2.0
332,904,0.0,14.596478182305502,0,53,0,0,1.0
333,904,0.0,14.596478182305502,0,53,1,0,1.0
334,904,0.0,14.596478182305502,0,53,2,9,1.0
335,904,0.0,14.596478182305502,0,57,0,5,1.0
336,940,0.0,16.901539308083144,1,12,0,0,1.0
337,939,0.0,16.15359261709112,1,45,0,5,1.0
338,940,0.0,16.901539308083144,1,65,0,0,1.0
339,940,0.0,16.901539308083144,1,75,0,0,1.0
340,939,0.0,16.608028844261895,1,123,0,5,1.0
341,923,0.0,15.495023242344937,2,18,0,0,1.0
342,923,0.0,15.495023242344937,2,106,1,0,2.0
343,923,0.0,15.495023242344937,2,111,0,5,1.0
344,923,0.0,15.495023242344937,2,111,2,11,1.0
345,942,0.0,13.165855359696387,3,32,0,0,1.0
346,942,0.0,13.165855359696387,3,32,0,1,1.0
347,942,0.0,13.165855359696387,3,32,0,5,1.0
348,942,0.0,13.003534600918893,3,52,0,5,1.0
349,942,0.0,12.8412138421414,3,100,0,0,1.0
350,942,0.0,12.678893083363906,4,58,0,0,1.0
351,940,0.0,16.901539308083144,5,62,0,0,1.0
352,940,0.0,16.901539308083144,5,62,0,5,1.0
353,940,0.0,16.901539308083144,5,62,2,9,1.0
354,940,0.0,16.901539308083144,5,71,0,0,1.0
355,940,0.0,16.901539308083144,5,71,0,5,1.0
356,940,0.0,16.901539308083144,5,71,2,11,2.0
357,940,0.0,16.901539308083144,5,89,0,0,2.0
358,940,0.0,16.901539308083144,5,89,2,11,1.0
359,940,0.0,16.901539308083144,5,98,0,0,1.0
360,940,0.0,16.901539308083144,5,98,0,5,1.0
361,938,0.0,16.362523119004774,6,0,1,0,1.0
362,938,0.0,16.362523119004774,6,0,2,11,1.0
363,938,0.0,16.396515370082955,6,29,0,0,2.0
364,938,0.0,16.396515370082955,6,29,0,5,1.0
365,942,0.0,12.606226232050727,6,60,0,0,1.0
366,942,0.0,12.606226232050727,6,60,0,5,1.0
367,938,0.0,16.46449987223932,6,67,0,5,1.0
368,938,0.0,16.4984921233175,6,69,0,0,2.0
369,938,0.0,16.4984921233175,6,69,0,5,1.0
370,938,0.0,16.532484374395683,6,109,0,5,1.0
371,941,0.0,16.796289341215672,6,126,0,0,1.0
372,941,0.0,16.830814829466107,7,14,0,5,1.0
373,941,0.0,16.865340317716537,7,39,0,0,1.0
374,941,0.0,16.899865805966975,7,46,0,0,4.0
375,941,0.0,16.93439129421741,7,133,0,0,2.0
376,904,0.0,14.596478182305502,8,2,0,0,1.0
377,904,0.0,14.596478182305502,8,9,0,0,1.0
378,904,0.0,14.596478182305502,8,51,2,11,1.0
379,904,0.0,14.596478182305502,8,132,0,0,2.0
380,950,0.0,12.308289437822618,9,86,0,5,1.0
381,950,0.0,12.308289437822618,9,86,2,11,3.0
382,950,0.0,12.308289437822618,9,131,0,0,1.0
383,159,0.0,13.23884281440621,10,20,0,5,1.0
384,159,0.0,13.23884281440621,10,20,2,11,1.0
385,159,0.0,13.23884281440621,10,90,0,0,1.0
386,937,0.0,14.058647301443802,11,54,0,0,1.0
387,937,0.0,14.058647301443802,11,81,0,5,1.0
388,940,0.0,16.901539308083144,12,6,0,0,1.0
389,940,0.0,16.901539308083144,12,93,0,0,1.0
390,940,0.0,16.901539308083144,12,93,1,0,1.0
391,940,0.0,16.901539308083144,12,93,2,11,2.0
392,910,0.0,13.024033255876931,13,43,0,0,1.0
393,910,0.0,13.024033255876931,13,43,0,5,1.0
394,159,0.0,13.23884281440621,13,95,0,0,1.0
395,159,0.0,13.23884281440621,13,124,0,5,1.0
396,159,0.0,13.23884281440621,14,23,0,5,1.0
397,159,0.0,13.23884281440621,14,70,0,0,1.0
398,937,0.0,14.058647301443802,15,56,2,11,1.0
399,937,0.0,14.058647301443802,15,56,3,6,1.0
400,937,0.0,14.058647301443802,15,79,2,11,1.0
401,937,0.0,14.058647301443802,15,101,0,1,1.0
402,937,0.0,14.058647301443802,15,101,0,5,3.0
403,937,0.0,14.058647301443802,15,101,2,11,1.0
404,937,0.0,14.058647301443802,15,108,0,5,1.0
405,904,0.0,11.89851059320621,0,33,0,5,1.0
406,904,0.0,11.89851059320621,0,34,0,0,1.0
407,921,0.0,9.623858385090944,0,38,0,5,1.0
408,904,0.0,11.89851059320621,0,50,0,5,1.0
409,904,0.0,11.89851059320621,0,64,0,0,1.0
410,904,0.0,11.89851059320621,0,64,1,0,1.0
411,904,0.0,11.89851059320621,0,73,0,5,1.0
412,923,0.0,14.117592830647085,2,18,0,0,1.0
413,923,0.0,14.117592830647085,2,106,0,0,1.0
414,923,0.0,14.117592830647085,2,106,1,0,1.0
415,923,0.0,14.117592830647085,2,111,0,5,1.0
416,923,0.0,14.117592830647085,2,111,1,0,1.0
417,942,0.0,11.824866873229631,3,32,0,0,2.0
418,942,0.0,11.824866873229631,3,32,0,5,1.0
419,942,0.0,11.824866873229631,3,32,1,8,1.0
420,942,0.0,11.364376162914144,3,100,0,5,1.0
421,940,0.0,14.779180717806653,5,71,0,0,1.0
422,940,0.0,14.779180717806653,5,71,0,5,1.0
423,940,0.0,14.779180717806653,5,80,0,0,1.0
424,940,0.0,14.779180717806653,5,80,2,11,1.0
425,940,0.0,14.779180717806653,5,98,0,5,1.0
426,938,0.0,13.453146501305387,6,29,0,0,1.0
427,942,0.0,10.801295117135961,6,60,0,5,1.0
428,938,0.0,13.347567291849622,6,67,2,11,1.0
429,938,0.0,13.294777687121737,6,69,0,0,1.0
430,938,0.0,13.294777687121737,6,69,0,5,3.0
431,941,0.0,13.315934564425579,7,14,0,0,1.0
432,904,0.0,11.89851059320621,8,2,0,1,1.0
433,904,0.0,11.89851059320621,8,2,0,5,1.0
434,904,0.0,11.89851059320621,8,9,0,0,1.0
435,904,0.0,11.89851059320621,8,51,0,0,2.0
436,904,0.0,11.89851059320621,8,51,0,5,1.0
437,904,0.0,11.89851059320621,8,92,0,5,1.0
438,938,0.0,13.511335042880443,8,114,0,5,2.0
439,938,0.0,13.511335042880443,8,114,2,11,1.0
440,159,0.0,12.56944709228825,9,3,2,11,1.0
441,950,0.0,10.72005663871317,9,10,0,0,2.0
442,950,0.0,10.72005663871317,9,28,2,11,1.0
443,950,0.0,10.72005663871317,9,30,0,5,2.0
444,950,0.0,10.72005663871317,9,86,0,5,3.0
445,950,0.0,10.72005663871317,9,86,2,11,3.0
446,950,0.0,10.72005663871317,9,105,0,5,1.0
447,950,0.0,10.72005663871317,9,131,0,0,1.0
448,950,0.0,10.72005663871317,9,131,0,5,2.0
449,950,0.0,10.72005663871317,9,131,2,9,1.0
450,159,0.0,12.56944709228825,10,20,0,5,1.0
451,937,0.0,12.85182968149483,11,22,0,0,1.0
452,940,0.0,14.779180717806653,11,47,0,0,1.0
453,937,0.0,12.85182968149483,11,54,0,0,1.0
454,937,0.0,12.85182968149483,11,81,0,5,1.0
455,940,0.0,14.779180717806653,12,6,0,5,1.0
456,940,0.0,14.779180717806653,12,93,0,0,2.0
457,940,0.0,14.779180717806653,12,93,0,5,3.0
458,159,0.0,12.56944709228825,13,63,0,1,1.0
459,159,0.0,12.56944709228825,14,7,0,5,1.0
460,159,0.0,12.56944709228825,14,41,0,5,1.0
461,937,0.0,12.85182968149483,15,55,0,5,2.0
462,937,0.0,12.85182968149483,15,79,0,5,1.0
463,937,0.0,12.85182968149483,15,101,0,5,1.0
464,937,0.0,12.85182968149483,15,101,1,0,1.0
465,937,0.0,12.85182968149483,15,112,0,5,1.0
466,937,0.0,12.85182968149483,15,117,1,10,1.0
467,937,0.0,12.85182968149483,15,117,2,11,1.0
468,904,0.0,13.596040616527286,0,4,0,5,1.0
469,904,0.0,13.596040616527286,0,50,0,0,2.0
470,940,0.0,14.976605864777854,1,12,0,5,1.0
471,939,0.0,13.895778479335965,1,21,2,11,1.0
472,940,0.0,14.976605864777854,1,75,0,5,1.0
473,939,0.0,14.377269460501255,1,77,1,0,1.0
474,923,0.0,15.987859593072276,2,18,0,0,1.0
475,923,0.0,15.987859593072276,2,18,0,5,1.0
476,923,0.0,15.987859593072276,2,18,2,9,1.0
477,923,0.0,15.987859593072276,2,111,3,6,1.0
478,939,0.0,14.792092459659036,2,122,0,0,1.0
479,942,0.0,14.569313418601855,3,1,0,5,1.0
480,942,0.0,14.569313418601855,3,1,2,11,1.0
481,942,0.0,14.502433541945027,3,32,0,0,1.0
482,942,0.0,14.502433541945027,3,32,0,5,2.0
483,942,0.0,14.435553665288207,3,52,2,9,3.0
484,942,0.0,14.368673788631384,3,100,0,0,1.0
485,942,0.0,14.368673788631384,3,100,0,5,1.0
486,942,0.0,14.30179391197456,3,102,0,5,1.0
487,942,0.0,14.234914035317733,4,58,0,0,1.0
488,159,0.0,13.860691444080453,4,125,0,0,1.0
489,159,0.0,13.860691444080453,4,125,0,5,2.0
490,940,0.0,14.976605864777854,5,48,0,5,1.0
491,940,0.0,14.976605864777854,5,49,1,8,1.0
492,940,0.0,14.976605864777854,5,49,2,11,1.0
493,940,0.0,14.976605864777854,5,80,0,5,1.0
494,940,0.0,14.976605864777854,5,89,0,0,1.0
495,940,0.0,14.976605864777854,5,98,0,0,1.0
